Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250212;382,00;DANKORT-SALG;Dankort-salg 11.02 6256651 0O2276;-40557226,36;90540000
20250212;290,00;DANKORT-SALG;Dankort-salg 11.02 6256651 1GK38Q;-40556936,36;90540000
20250212;522,00;DANKORT-SALG;Dankort-salg 11.02 6256651 17597H;-40556414,36;90540000
20250212;1034,00;DANKORT-SALG;Dankort-salg 11.02 6256651 2U3QEH;-40555380,36;90540000
20250212;1034,00;DANKORT-SALG;Dankort-salg 11.02 6256651 22M9GC;-40554346,36;90540000
20250212;382,00;DANKORT-SALG;Dankort-salg 11.02 6256651 239P14;-40553964,36;90540000
20250212;1034,00;DANKORT-SALG;Dankort-salg 11.02 6256651 2814IV;-40552930,36;90540000
20250212;522,00;DANKORT-SALG;Dankort-salg 11.02 6256651 3Q98X2;-40552408,36;90540000
20250212;894,00;DANKORT-SALG;Dankort-salg 11.02 6256651 300D75;-40551514,36;90540000
20250212;150,00;DANKORT-SALG;Dankort-salg 11.02 6256651 5JF267;-40551364,36;90540000
20250212;1034,00;DANKORT-SALG;Dankort-salg 11.02 6256651 55B1J5;-40550330,36;90540000
20250212;1034,00;DANKORT-SALG;Dankort-salg 11.02 6256651 6R77H6;-40549296,36;90540000
20250212;290,00;DANKORT-SALG;Dankort-salg 11.02 6256651 6S861P;-40549006,36;90540000
20250212;894,00;DANKORT-SALG;Dankort-salg 11.02 6256651 6828GJ;-40548112,36;90540000
20250212;1034,00;DANKORT-SALG;Dankort-salg 11.02 6256651 84OX8E;-40547078,36;90540000
20250212;781,00;DANKORT-SALG;Dankort-salg 11.02 7221290 725850;-40546297,36;90540000
20250212;108,00;OVERFØRSEL;Overførsel 2001330680011102259;-40546189,36;90540000
20250212;107,00;OVERFØRSEL;Overførsel 2007557890011102253;-40546082,36;90540000
20250212;60,00;OVERFØRSEL;Overførsel 2006542270011102258;-40546022,36;90540000
20250212;55,00;OVERFØRSEL;Overførsel 2008446080011102254;-40545967,36;90540000
20250212;90,00;OVERFØRSEL;Overførsel 2007646350011102251;-40545877,36;90540000
20250212;105,00;OVERFØRSEL;Overførsel 2008169120011102255;-40545772,36;90540000
20250212;1575,00;OVERFØRSEL;Overførsel 2007785490011102250;-40544197,36;90540000
20250212;22,50;OVERFØRSEL;Overførsel 2006169460011102250;-40544174,86;90540000
20250212;42,00;OVERFØRSEL;Overførsel 2001877710011102255;-40544132,86;90540000
20250212;181,00;OVERFØRSEL;Overførsel 2020094080011102257;-40543951,86;90540000
20250212;53,00;OVERFØRSEL;Overførsel 2005827710011102256;-40543898,86;90540000
20250212;326,00;OVERFØRSEL;Overførsel 2006019860011102256;-40543572,86;90540000
20250212;320,00;OVERFØRSEL;Overførsel 2020314620011102258;-40543252,86;90540000
20250212;279,00;OVERFØRSEL;Overførsel 2020471040011102250;-40542973,86;90540000
20250212;717,00;OVERFØRSEL;Overførsel 2020498350011102253;-40542256,86;90540000
20250212;305,00;OVERFØRSEL;Overførsel 2020190910011102250;-40541951,86;90540000
20250212;47743,92;OVERFØRSEL;Overførsel 4000000000011102252;-40494207,94;90540000
20250212;79,00;OVERFØRSEL;Overførsel 2020320950011102255;-40494128,94;90540000
20250212;30,00;OVERFØRSEL;Overførsel 2020325480011102254;-40494098,94;90540000
20250212;151,00;OVERFØRSEL;Overførsel 2020249660011102257;-40493947,94;90540000
20250212;20,00;OVERFØRSEL;Overførsel 2020443930011102259;-40493927,94;90540000
20250212;233,00;OVERFØRSEL;Overførsel 2020219860011102252;-40493694,94;90540000
20250212;317,00;OVERFØRSEL;Overførsel 2020421200011102257;-40493377,94;90540000
20250212;4126,14;OVERFØRSEL;Overførsel 3000000000011102253;-40489251,80;90540000
20250212;40287,50;INDBETALINGSKORT;Indbetalingskort K 82075348-11.02;-40448964,30;90540000
20250212;2834576,15;INDBETALINGSKORT;Indbetalingskort K 84788767-11.02;-37614388,15;90540000
20250212;4840,00;INDBETALINGSKORT;Indbetalingskort K 86136228-11.02;-37609548,15;90540000
20250212;6419,50;INDBETALINGSKORT;Indbetalingskort K 86446707-11.02;-37603128,65;90540000
20250212;168643,40;INDBETALINGSKORT;Indbetalingskort K 89182816-11.02;-37434485,25;90540000
20250212;-3710529,41;CAP;Leverandørudbetaling;-41145014,66;90540000
20250212;-2123896,80;CAP;Leverandørudbetaling;-43268911,46;90540000
20250212;-27738,18;CAP;Rekvireret udbetalin;-43296649,64;90540000
20250212;-279954,00;CAP;Sygedagpenge;-43576603,64;90540000
20250212;-3256698,00;CAP;Sygedagpenge lønrefu;-46833301,64;90540000
20250212;17538,41;UDENLANDSK OVERFØRSEL;Udenl. overf. 7464005615120225S103 20015185534320AO;-46815763,23;90540000
20250212;-12491,36;CAP;Cap NKS-KY;-46828254,59;90540000
20250212;-2445,14;CAP;Cap NKS-KY;-46830699,73;90540000
20250212;-4420,59;CAP;Cap NKS-KY;-46835120,32;90540000
20250212;57519,47;BGS;Bgs HSK1302592426;-46777600,85;90540000
20250212;-27300,00;CAP;Boliglån;-46804900,85;90540000
20250212;9465,13;OVERFØRSEL;50024894;2988754,44;90541000
20250212;1612,17;OVERFØRSEL;0303341226;2990366,61;90541000
20250212;2132,20;BGS;Bgs 2011901614;2992498,81;90541000

