Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250422;9,00;DANKORT-SALG;Dankort-salg 20.04 4922735 208129;215175069,29;90540000
20250422;11,00;DANKORT-SALG;Dankort-salg 20.04 4922735 208069;215175060,29;90540000
20250422;2.145,00;DANKORT-SALG;Dankort-salg 20.04 4862899 924650;215175049,29;90540000
20250422;4.550,00;DANKORT-SALG;Dankort-salg 20.04 4862899 087850;215172904,29;90540000
20250422;563,00;DANKORT-SALG;Dankort-salg 20.04 3796930 040750;215168354,29;90540000
20250422;1.361,00;DANKORT-SALG;Dankort-salg 20.04 3796914 879150;215167791,29;90540000
20250422;538,00;DANKORT-SALG;Dankort-salg 20.04 3796892 673150;215166430,29;90540000
20250422;390,50;DANKORT-SALG;Dankort-salg 20.04 3796884 623450;215165892,29;90540000
20250422;102,00;DANKORT-SALG;Dankort-salg 20.04 3796795 278950;215165501,79;90540000
20250422;260,00;DANKORT-SALG;Dankort-salg 20.04 2471043 092213;215165399,79;90540000
20250422;75,00;DANKORT-SALG;Dankort-salg 19.04 5541069 265950;215165139,79;90540000
20250422;550,00;DANKORT-SALG;Dankort-salg 19.04 5541069 265950;215165214,79;90540000
20250422;75,00;DANKORT-SALG;Dankort-salg 19.04 5247969 691755;215164664,79;90540000
20250422;1.000,00;DANKORT-SALG;Dankort-salg 19.04 5078318 2730;215164589,79;90540000
20250422;300,00;DANKORT-SALG;Dankort-salg 19.04 5078318 2729;215163589,79;90540000
20250422;300,00;DANKORT-SALG;Dankort-salg 19.04 5078318 2728;215163289,79;90540000
20250422;36,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208928;215162989,79;90540000
20250422;64,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208927;215162953,79;90540000
20250422;667,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208617;215162889,79;90540000
20250422;160,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208551;215162222,79;90540000
20250422;204,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208550;215162062,79;90540000
20250422;3.711,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208542;215161858,79;90540000
20250422;149,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208391;215158147,79;90540000
20250422;245,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208370;215157998,79;90540000
20250422;152,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208368;215157753,79;90540000
20250422;59,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208279;215157601,79;90540000
20250422;380,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208245;215157542,79;90540000
20250422;80,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208235;215157162,79;90540000
20250422;93,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208234;215157082,79;90540000
20250422;113,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208228;215156989,79;90540000
20250422;80,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208202;215156876,79;90540000
20250422;55,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208196;215156796,79;90540000
20250422;77,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208170;215156741,79;90540000
20250422;40,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208166;215156664,79;90540000
20250422;60,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208147;215156624,79;90540000
20250422;117,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208141;215156564,79;90540000
20250422;183,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208139;215156447,79;90540000
20250422;301,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208129;215156264,79;90540000
20250422;29,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208109;215155963,79;90540000
20250422;388,00;DANKORT-SALG;Dankort-salg 19.04 4922735 208069;215155934,79;90540000
20250422;590,00;DANKORT-SALG;Dankort-salg 19.04 4862899 924550;215155546,79;90540000
20250422;4.390,00;DANKORT-SALG;Dankort-salg 19.04 4862899 087750;215154956,79;90540000
20250422;580,00;DANKORT-SALG;Dankort-salg 19.04 3796930 040650;215150566,79;90540000
20250422;140,00;DANKORT-SALG;Dankort-salg 19.04 3796914 879150;215149986,79;90540000
20250422;1.592,00;DANKORT-SALG;Dankort-salg 19.04 3796914 879050;215149846,79;90540000
20250422;174,00;DANKORT-SALG;Dankort-salg 19.04 3796892 673150;215148254,79;90540000
20250422;173,00;DANKORT-SALG;Dankort-salg 19.04 3796884 623450;215148080,79;90540000
20250422;54,00;DANKORT-SALG;Dankort-salg 19.04 3796795 278850;215147907,79;90540000
20250422;365,00;DANKORT-SALG;Dankort-salg 19.04 2471043 092212;215147853,79;90540000
20250422;27,50;DANKORT-SALG;Dankort-salg 18.04 5541069 265850;215147488,79;90540000
20250422;82,50;DANKORT-SALG;Dankort-salg 18.04 5541069 265850;215147516,29;90540000
20250422;195,00;DANKORT-SALG;Dankort-salg 18.04 5541069 265850;215147598,79;90540000
20250422;198,45;DANKORT-SALG;Dankort-salg 18.04 5541042 019363;215147403,79;90540000
