Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20240212;-1639.65;CAP;Cap NKS-KY;-110300801,53;90541000
20240212;2100.00;BGS;Bgs Ydelseskontor 121271           -;-110299161,88;90541000
20240212;-1996.00;CAP;Cap Sygedagpenge;-110301261,88;90541000
20240212;-4.00;GEBYR UDLAND;Gebyr udland 3404309049GEB   NCHG;-110299265,88;90541000
20240212;-547.41;UDENLANDSK OVERFØRSEL;Udenl. overf. 3404309049      NTRF;-110299261,88;90541000
20240212;-4.00;GEBYR UDLAND;Gebyr udland 3404309037GEB   NCHG;-110298714,47;90541000
20240212;-696.66;UDENLANDSK OVERFØRSEL;Udenl. overf. 3404309037      NTRF;-110298710,47;90541000
20240212;-8398.23;CAP;Cap NKS-KY;-110298013,81;90541000
20240212;-6720.00;BGS;Bgs møbler klub 85;-110289615,58;90541000
20240212;-17212.23;CAP;NKS-KY;-110282895,58;90541000
20240212;-2155.88;CAP;Cap NKS-KY;-110265683,35;90541000
20240212;189.00;DANKORT-SALG;Dankort-salg 11.02 5247969 691484;-110263527,47;90541000
20240212;30.00;DANKORT-SALG;Dankort-salg 10.02 5247969 691483;-110263716,47;90541000
20240212;120.00;DANKORT-SALG;Dankort-salg 11.02 4922735 208904;-110263746,47;90541000
20240212;179.00;DANKORT-SALG;Dankort-salg 10.02 4922735 208904;-110263866,47;90541000
20240212;826.00;DANKORT-SALG;Dankort-salg 10.02 4922735 208608;-110264045,47;90541000
20240212;120.00;DANKORT-SALG;Dankort-salg 11.02 4922735 208535;-110264871,47;90541000
20240212;942.00;DANKORT-SALG;Dankort-salg 10.02 4922735 208535;-110264991,47;90541000

