Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250428;5.855,00;BGS;Bgs FP50093353;3284770,61;90541000
20250428;186,00;DANKORT-SALG;Dankort-salg 25.04 4922735 208170;165728562,85;90540000
20250428;162,00;DANKORT-SALG;Dankort-salg 25.04 4922735 208166;165728376,85;90540000
20250428;203,00;DANKORT-SALG;Dankort-salg 25.04 4922735 208147;165728214,85;90540000
20250428;243,00;DANKORT-SALG;Dankort-salg 25.04 4922735 208141;165728011,85;90540000
20250428;120,00;DANKORT-SALG;Dankort-salg 25.04 4922735 208139;165727768,85;90540000
20250428;156,00;DANKORT-SALG;Dankort-salg 25.04 4922735 208139;165727648,85;90540000
20250428;838,00;DANKORT-SALG;Dankort-salg 25.04 4922735 208129;165727492,85;90540000
20250428;222,00;DANKORT-SALG;Dankort-salg 25.04 4922735 208109;165726654,85;90540000
20250428;966,00;DANKORT-SALG;Dankort-salg 25.04 4922735 208069;165726432,85;90540000
20250428;120,00;DANKORT-SALG;Dankort-salg 25.04 4922735 208069;165725466,85;90540000
20250428;1.380,00;DANKORT-SALG;Dankort-salg 25.04 4862899 925150;165725346,85;90540000
20250428;2.340,00;DANKORT-SALG;Dankort-salg 25.04 4862899 088150;165723966,85;90540000
20250428;206,00;DANKORT-SALG;Dankort-salg 25.04 4771850 545850;165721626,85;90540000
20250428;2.515,00;DANKORT-SALG;Dankort-salg 25.04 4430778 987350;165721420,85;90540000
20250428;2.068,00;DANKORT-SALG;Dankort-salg 25.04 4430778 987350;165718905,85;90540000
20250428;50,00;DANKORT-SALG;Dankort-salg 25.04 3796949 246650;165716837,85;90540000
20250428;547,00;DANKORT-SALG;Dankort-salg 25.04 3796930 040850;165716787,85;90540000
20250428;2.216,00;DANKORT-SALG;Dankort-salg 25.04 3796914 879550;165716240,85;90540000
20250428;620,00;DANKORT-SALG;Dankort-salg 25.04 3796892 673250;165714024,85;90540000
20250428;226,00;DANKORT-SALG;Dankort-salg 25.04 3796884 623650;165713404,85;90540000
20250428;19,00;DANKORT-SALG;Dankort-salg 25.04 3796868 574450;165713178,85;90540000
20250428;248,00;DANKORT-SALG;Dankort-salg 25.04 3796817 779650;165713159,85;90540000
20250428;238,00;DANKORT-SALG;Dankort-salg 25.04 3796795 279050;165712911,85;90540000
20250428;409,00;DANKORT-SALG;Dankort-salg 25.04 3796671 706350;165712673,85;90540000
