Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250430;3.000,00;BGS;Bgs 290568-2205;3293142,80;90541000
20250430;350,00;BGS;Bgs Betaling kontoret;3290142,80;90541000
20250430;1.795,38;OVERFØRSEL;Overførsel                         Meddelnr. 02223835525120;3289792,80;90541000
20250430;-315,00;GEBYR;Gebyr, returnering;-183884529,95;90540000
20250430;324,00;DANKORT-SALG;Dankort-salg 29.04 2471043 092221;-139731508,30;90540000
20250430;100,00;DANKORT-SALG;Dankort-salg 29.04 1992317 330950;-139731832,30;90540000
20250430;11.373,00;OVERFØRSEL;Overførsel Team Pension;-139731932,30;90540000
20250430;5.772.403,61;OVERFØRSEL;Overførsel Pension 51213513;-139743305,30;90540000
20250430;300,00;OVERFØRSEL;Overførsel N42250770294;-145515708,91;90540000
20250430;40.888,11;OVERFØRSEL;Overførsel N36549770444;-145516008,91;90540000
20250430;3.234,29;OVERFØRSEL;Overførsel N27026770278;-145556897,02;90540000
20250430;554,49;OVERFØRSEL;Overførsel Nets 0603 8537995;-145560131,31;90540000
20250430;1.477,64;OVERFØRSEL;Overførsel Nets 0527 8674335;-145560685,80;90540000
20250430;415,46;OVERFØRSEL;Overførsel Nets 0416 8516775;-145562163,44;90540000
20250430;296,28;OVERFØRSEL;Overførsel Nets 0212 8357634;-145562578,90;90540000
20250430;27.433,90;OVERFØRSEL;Overførsel KP-VardeKommune;-145562875,18;90540000
20250430;13.716,95;OVERFØRSEL;Overførsel KP-ThistedKommune;-145590309,08;90540000
20250430;14.784,90;OVERFØRSEL;Overførsel KP-RebildKommune;-145604026,03;90540000
20250430;12.083,85;OVERFØRSEL;Overførsel KP-OdderKommune;-145618810,93;90540000
20250430;26.946,40;OVERFØRSEL;Overførsel KP-NorddjursKommune;-145630894,78;90540000
20250430;13.716,95;OVERFØRSEL;Overførsel KP-Ikast-Brande;-145657841,18;90540000
20250430;3.080,35;OVERFØRSEL;Overførsel KP-GladsaxeKommune;-145671558,13;90540000
20250430;3.080,35;OVERFØRSEL;Overførsel KP-Frederikssund;-145674638,48;90540000
20250430;13.716,95;OVERFØRSEL;Overførsel KP-Fredensborg;-145677718,83;90540000
20250430;39.874,85;OVERFØRSEL;Overførsel KP-FavrskovKommune;-145691435,78;90540000
20250430;27.433,90;OVERFØRSEL;Overførsel KP-AalborgKommune;-145731310,63;90540000
20250430;4.529.151,49;OVERFØRSEL;Overførsel Kommunalt træk;-145758744,53;90540000
20250430;142,78;OVERFØRSEL;Overførsel FNR 7570562;-150287896,02;90540000
20250430;74.826,62;OVERFØRSEL;Overførsel Fleksjob 100565;-150288038,80;90540000
20250430;5.684,00;OVERFØRSEL;Overførsel ADM Social Pension;-150362865,42;90540000
20250430;3.055,60;OVERFØRSEL;12 27 35 22                        Susan Nielsen;-150368549,42;90540000
20250430;6.559,82;OVERFØRSEL;Udbetaling Danmark                 Meddelnr. 02276298925120;-150371605,02;90540000
20250430;2.208,53;OVERFØRSEL;Udbetaling Danmark                 Meddelnr. 02276271025120;-150378164,84;90540000
20250430;2.730,33;OVERFØRSEL;Udbetaling Danmark                 Meddelnr. 02276237025120;-150380373,37;90540000
20250430;15.740,80;OVERFØRSEL;Udbetaling Danmark                 Meddelnr. 02276205225120;-150383103,70;90540000
20250430;28.270,96;OVERFØRSEL;Udbetaling Danmark                 Meddelnr. 02276180525120;-150398844,50;90540000
20250430;31.803,16;OVERFØRSEL;Udbetaling Danmark                 Meddelnr. 02276166425120;-150427115,46;90540000
20250430;2.972,00;OVERFØRSEL;Udbetaling Danmark                 Meddelnr. 02276166125120;-150458918,62;90540000
20250430;30,17;OVERFØRSEL;Overf. Skattestyrels               Meddelnr. 02193297525120;-150461890,62;90540000
20250430;22.720,45;OVERFØRSEL;Lemvig Kommune (KP);-150461920,79;90540000
20250430;33.100.000,00;OVERFØRSEL;Laan: 202558441;-150484641,24;90540000
20250430;90.487,15;OVERFØRSEL;KP-SyddjursKommune;-183584641,24;90540000
20250430;28.881,15;OVERFØRSEL;KP-SilkeborgKommune;-183675128,39;90540000
20250430;27.433,90;OVERFØRSEL;KP-Sønderborg;-183704009,54;90540000
20250430;66.740,00;OVERFØRSEL;KP-Mariagerfjord;-183731443,44;90540000
20250430;13.300,95;OVERFØRSEL;KP-LollandKommune;-183798183,44;90540000
20250430;2.369,50;OVERFØRSEL;KP-Brønderslev;-183811484,39;90540000
20250430;22.144,00;OVERFØRSEL;AUBlønref 2411931296               Meddelnr. 02180525325120;-183813853,89;90540000
20250430;14.568,00;OVERFØRSEL;AUBlønref 1504015854               Meddelnr. 02180525225120;-183835997,89;90540000
20250430;14.568,00;OVERFØRSEL;AUBlønref 0504036642               Meddelnr. 02180525425120;-183850565,89;90540000
20250430;14.564,00;OVERFØRSEL;AUBlønref 0308016854               Meddelnr. 02180525525120;-183865133,89;90540000
20250430;1.056,00;OVERFØRSEL;AUB-befor 2411931296               Meddelnr. 02288186725120;-183879697,89;90540000
20250430;1.440,00;OVERFØRSEL;AUB-befor 1504015854               Meddelnr. 02288214725120;-183880753,89;90540000
20250430;1.056,00;OVERFØRSEL;AUB-befor 0504036642               Meddelnr. 02288186625120;-183882193,89;90540000
20250430;1.176,00;OVERFØRSEL;AUB-befor 0308016854               Meddelnr. 02288186525120;-183883249,89;90540000
20250430;104,06;UDENLANDSK OVERFØRSEL;Udenl. overf. 7464002890300425S103 9M10504170000001;-183884425,89;90540000
20250430;46.756,59;MOBILEPAY;Mobilepay 4000000000012904255;-171601825,29;90540000
20250430;6.331,00;MOBILEPAY;Mobilepay 3000000000012904256;-171648581,88;90540000
20250430;997,00;MOBILEPAY;Mobilepay 2020498350012904256;-171654912,88;90540000
20250430;239,50;MOBILEPAY;Mobilepay 2020471040012904253;-171655909,88;90540000
20250430;107,00;MOBILEPAY;Mobilepay 2020443930012904252;-171656149,38;90540000
20250430;30,00;MOBILEPAY;Mobilepay 2020421200012904250;-171656256,38;90540000
20250430;155,00;MOBILEPAY;Mobilepay 2020325480012904257;-171656286,38;90540000
20250430;277,00;MOBILEPAY;Mobilepay 2020320950012904258;-171656441,38;90540000
20250430;608,50;MOBILEPAY;Mobilepay 2020314620012904251;-171656718,38;90540000
20250430;338,50;MOBILEPAY;Mobilepay 2020302440012904252;-171657326,88;90540000
20250430;651,00;MOBILEPAY;Mobilepay 2020249660012904250;-171657665,38;90540000
20250430;181,00;MOBILEPAY;Mobilepay 2020219860012904255;-171658316,38;90540000
20250430;90,00;MOBILEPAY;Mobilepay 2020190910012904253;-171658497,38;90540000
20250430;395,00;MOBILEPAY;Mobilepay 2020094080012904250;-171658587,38;90540000
20250430;1.208,00;MOBILEPAY;Mobilepay 2008661100012904255;-171658982,38;90540000
20250430;137,00;MOBILEPAY;Mobilepay 2008446080012904257;-171660190,38;90540000
20250430;45,00;MOBILEPAY;Mobilepay 2008169120012904258;-171660327,38;90540000
20250430;14,00;MOBILEPAY;Mobilepay 2008082310012904255;-171660372,38;90540000
20250430;60,00;MOBILEPAY;Mobilepay 2007557890012904256;-171660386,38;90540000
20250430;620,00;MOBILEPAY;Mobilepay 2007429540012904252;-171660446,38;90540000
20250430;30,00;MOBILEPAY;Mobilepay 2007260820012904254;-171661066,38;90540000
