Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250502;321,48;OVERFØRSEL MV.;Overførsel mv. GC102104433;285324604,11;90540000
20250502;-20.008,00;CAP;Sygedagpenge;288263626,19;90540000
20250502;-4.020,96;CAP;Cap NKS-KY;288283634,19;90540000
20250502;-4,00;GEBYR UDLAND;Gebyr udland 3512206775GEB   NCHG;288287655,15;90540000
20250502;-3.230,42;UDENLANDSK OVERFØRSEL;Udenl. overf. 3512206775      NTRF;288287659,15;90540000
20250502;-31.284,03;CAP;NKS-KY;288290889,57;90540000
20250502;-5.623,43;CAP;NKS-KY;288322173,60;90540000
20250502;-9.741,33;CAP;NKS-KY;288327797,03;90540000
20250502;-5.497,81;CAP;Cap NKS-KY;288337538,36;90540000
20250502;-12.878,82;CAP;NKS-KY;288343036,17;90540000
20250502;-528,00;CAP;Cap NKS-KY;288355914,99;90540000
20250502;-87,90;CAP;Cap NKS-KY;288356442,99;90540000
20250502;-2.689,00;CAP;Cap NKS-KY;288356530,89;90540000
20250502;-13.308,55;CAP;NKS-KY;288359219,89;90540000
20250502;-5.687,93;CAP;Cap NKS-KY;288372528,44;90540000
20250502;1.003.872,49;OVERFØRSEL;Overførsel 3000000000010105251     Meddelnr. 02338054725122;288378216,37;90540000
20250502;-17.671,22;CAP;Rekvireret udbetalin;287374343,88;90540000
20250502;-1.316.677,21;CAP;Leverandørudbetaling;287392015,10;90540000
20250502;-1.347.135,08;CAP;Leverandørudbetaling;288708692,31;90540000
20250502;-600,00;CAP;Cap Foreningstilskud;290055827,39;90540000
20250502;75.115,59;INDBETALINGSKORT;Indbetalingskort K 89182816-01.05;290056427,39;90540000
20250502;178,05;INDBETALINGSKORT;Indbetalingskort K 89182816-30.04;289981311,80;90540000
20250502;246.776,70;INDBETALINGSKORT;Indbetalingskort K 86446707-01.05;289981133,75;90540000
20250502;3.060,00;INDBETALINGSKORT;Indbetalingskort K 86136228-01.05;289734357,05;90540000
20250502;4.977.682,73;INDBETALINGSKORT;Indbetalingskort K 84788767-01.05;289731297,05;90540000
20250502;-1.561,84;CAP;NKS-KY;284753614,32;90540000
20250502;-29.921,87;CAP;RG-250505 29 ACONTO;284755176,16;90540000
20250502;-550.688,18;CAP;NKS-KY;284785098,03;90540000
20250502;-30,61;CAP;NKS-KY;285335786,21;90540000
20250502;-411,15;CAP;Cap NKS-KY;285335816,82;90540000
20250502;-224,52;CAP;Cap NKS-KY;285336227,97;90540000
20250502;-2.294,58;CAP;Cap RJ-250505 29 ACONTO;285336452,49;90540000
20250502;290,00;DANKORT-SALG;Dankort-salg 01.05 6256651 4LSFF2;285338747,07;90540000
20250502;1.034,00;DANKORT-SALG;Dankort-salg 01.05 6256651 2R0L0F;285338457,07;90540000
20250502;894,00;DANKORT-SALG;Dankort-salg 01.05 6256651 Z4TU0V;285337423,07;90540000
20250502;894,00;DANKORT-SALG;Dankort-salg 01.05 6256651 UB5XI6;285336529,07;90540000
20250502;1.034,00;DANKORT-SALG;Dankort-salg 01.05 6256651 R48K4R;285335635,07;90540000
20250502;290,00;DANKORT-SALG;Dankort-salg 01.05 6256651 Q2NS85;285334601,07;90540000
20250502;290,00;DANKORT-SALG;Dankort-salg 01.05 6256651 MGVK0V;285334311,07;90540000
20250502;894,00;DANKORT-SALG;Dankort-salg 01.05 6256651 KNA84B;285334021,07;90540000
20250502;150,00;DANKORT-SALG;Dankort-salg 01.05 6256651 FGZT3A;285333127,07;90540000
20250502;1.034,00;DANKORT-SALG;Dankort-salg 01.05 6256651 CRYN78;285332977,07;90540000
20250502;390,00;DANKORT-SALG;Dankort-salg 01.05 6201830 319550;285331943,07;90540000
20250502;81,00;DANKORT-SALG;Dankort-salg 01.05 5991390 215250;285331553,07;90540000
20250502;76,00;DANKORT-SALG;Dankort-salg 01.05 5891507 278750;285331472,07;90540000
20250502;60,00;DANKORT-SALG;Dankort-salg 01.05 5887356 165950;285331396,07;90540000
20250502;2.828,00;DANKORT-SALG;Dankort-salg 01.05 5846102 814550;285331336,07;90540000
20250502;95,40;DANKORT-SALG;Dankort-salg 01.05 5541042 019441;285328508,07;90540000
20250502;150,00;DANKORT-SALG;Dankort-salg 01.05 5078318 2817;285328412,67;90540000
20250502;750,00;DANKORT-SALG;Dankort-salg 01.05 5078318 2815;285328262,67;90540000
20250502;300,00;DANKORT-SALG;Dankort-salg 01.05 5078318 2814;285327512,67;90540000
20250502;-680,00;DANKORT-SALG;Dankort-salg 01.05 5078318 2808;285327212,67;90540000
20250502;-300,00;DANKORT-SALG;Dankort-salg 01.05 5078318 2806;285327892,67;90540000
20250502;193,00;DANKORT-SALG;Dankort-salg 01.05 4922735 208929;285328192,67;90540000
